| Finding (what you see)                                                                  | What it means / Why it matters / How to fix                                                                                                                                      |
| --------------------------------------------------------------------------------------- | -------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- |
| **Serve images in next-gen formats** <br> Potential savings of 9,369 KiB                | Your images could be smaller if served as WebP or AVIF instead of JPG/PNG. <br>**How to fix:** Convert images to WebP/AVIF and use `<picture>` or fallback methods.              |
| **Largest Contentful Paint element 2,700 ms**                                           | It takes 2.7 seconds for the biggest visible content (e.g., hero image/text) to load. <br>**How to fix:** Optimize images, reduce server response times, use better hosting/CDN. |
| **Eliminate render-blocking resources** <br> Potential savings of 270 ms                | CSS/JS files are delaying how quickly the page can display. <br>**How to fix:** Load non-critical CSS async or inline critical CSS; defer JS.                                    |
| **Properly size images** <br> Potential savings of 7,612 KiB                            | Some images are loaded at a much larger size than displayed, wasting bandwidth. <br>**How to fix:** Resize images to the dimensions they appear at.                              |
| **Enable text compression** <br> Potential savings of 110 KiB                           | Text-based files (HTML, CSS, JS) aren't compressed. <br>**How to fix:** Enable gzip or Brotli on your server.                                                                    |
| **Use HTTP/2** <br> 15 requests not served via HTTP/2                                   | HTTP/2 loads resources more efficiently than HTTP/1.1. <br>**How to fix:** Ask your host to enable HTTP/2 (almost always possible).                                              |
| **Reduce unused CSS** <br> Potential savings of 120 KiB                                 | CSS is loaded but not used. <br>**How to fix:** Remove unnecessary CSS, use tools like PurgeCSS.                                                                                 |
| **Image elements do not have explicit width and height**                                | Missing width/height attributes causes layout shifts. <br>**How to fix:** Always set width and height for images.                                                                |
| **Minify CSS** <br> Potential savings of 19 KiB                                         | Your CSS has extra spaces/comments. <br>**How to fix:** Minify CSS files.                                                                                                        |
| **Serve static assets with an efficient cache policy** <br> 1 resource found            | A file isn’t cached for long; could be cached for months. <br>**How to fix:** Set better caching headers for static assets.                                                      |
| **Defer offscreen images** <br> Potential savings of 1,150 KiB                          | Images below the fold are loaded immediately instead of lazily. <br>**How to fix:** Add `loading="lazy"` to images not visible at load.                                          |
| **Remove duplicate modules in JavaScript bundles** <br> Potential savings of 20 KiB     | Same code is bundled more than once. <br>**How to fix:** Review your build system/bundler (Webpack, etc.)                                                                        |
| **Avoid serving legacy JavaScript to modern browsers** <br> Potential savings of 22 KiB | You’re sending old, unnecessary JS for compatibility that most users don’t need. <br>**How to fix:** Use modern JS for modern browsers, only serve old code if needed.           |
| **Reduce unused JavaScript** <br> Potential savings of 710 KiB                          | JS files are loaded but not used. <br>**How to fix:** Remove or split unnecessary JS.                                                                                            |
| **Avoid enormous network payloads** <br> Total size was 18,798 KiB                      | Your page loads a lot of data (nearly 19 MB), which is very heavy. <br>**How to fix:** Optimize all assets, split bundles, lazy load.                                            |
| **Avoid long main-thread tasks** <br> 4 long tasks found                                | Some JS takes too long, blocking the browser. <br>**How to fix:** Optimize JS, break up large tasks, review third-party scripts.                                                 |
| **Avoid large layout shifts** <br> 4 layout shifts found                                | The page moves around during load, hurting UX and SEO. <br>**How to fix:** Set width/height for images/ads, avoid injecting content above.                                       |
| **Avoid non-composited animations** <br> 5 animated elements found                      | Some CSS animations aren’t using GPU, can cause jank. <br>**How to fix:** Use `transform`/`opacity` for animations.                                                              |
| **Avoid chaining critical requests** <br> 7 chains found                                | Too many sequential requests before the page can show. <br>**How to fix:** Inline critical assets, minimize dependencies.                                                        |
| **Minimize third-party usage**                                                          | Third-party code blocked the main thread for 0 ms (this is good!).                                                                                                               |
